alert_number	severity	package	manifest_path	state
32	medium	esbuild	backend/package-lock.json	open
35	medium	esbuild	package-lock.json	open
83	medium	postcss	package-lock.json	open
122	medium	uuid	backend/package-lock.json	open
124	medium	uuid	package-lock.json	open
128	low	nodemailer	apps/site-publico/package.json	open
129	medium	nodemailer	apps/site-publico/package.json	open
130	low	nodemailer	package-lock.json	open
131	medium	nodemailer	package-lock.json	open
137	low	esbuild	backend/package-lock.json	open
138	high	esbuild	backend/package-lock.json	open
139	low	esbuild	package-lock.json	open
140	high	esbuild	package-lock.json	open
