metric	value
sec03_pr	319
sec03_merge_commit	9f11d7d3bb1597e2a81c0cf8fb0c0ebead656e66
bugbot	SUCCESS
site_publico_nodemailer_spec	^8.0.11
lock_workspace_spec	^8.0.11
site_publico_lock_exists	False
root_lock_version	8.0.11
npm_audit_site_publico_total	7
npm_audit_site_publico_moderate	7
npm_audit_site_publico_high	0
npm_audit_site_publico_critical	0
npm_audit_nodemailer_present	False
dependabot_open_total	9
dependabot_open_high	2
dependabot_open_medium	5
dependabot_open_low	2
dependabot_nodemailer_open	0
