sample_id	ts_sp	h3002	h3000	backend_health	site_health	postgres_health	backend_restarts	site_restarts	postgres_restarts	error_rate_note	verdict
000	2026-06-08T22:00:45-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
001	2026-06-09T11:49:08-03:00	200	200	healthy	healthy	healthy	0	0	0	recovery; scheduler-wsl-exit-1; slot perdido	OK
002	2026-06-09T11:49:09-03:00	200	200	healthy	healthy	healthy	0	0	0	recovery; scheduler-wsl-exit-1; slot perdido	OK
003	2026-06-09T16:00:02-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
004	2026-06-09T22:00:02-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
005	2026-06-10T04:00:02-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
006	2026-06-10T10:00:02-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
007	2026-06-10T16:00:04-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
008	2026-06-10T22:00:02-03:00			healthy	healthy	healthy	0	0	0	smoke-only; prometheus optional	FAIL
008	2026-06-10T23:30:32-03:00	200	200	healthy	healthy	healthy	0	0	0	recovery; host empty-reply pos-restart 18:45; docker compose restart 23:30	OK
009	2026-06-11T04:00:02-03:00	200	200	healthy	healthy	healthy	0	0	0	prometheus_up; query 5xx in finalize	OK
