gate	resultado	notas
worktree	s2-fase-e-clean	PASS	C:\Users\RSV 360\Documents\s2-fase-e-clean
branch	chore/trilha-0-t0.13-typescript6-turismo	PASS
base_commit	dd1621133	PASS	main @ T0.12 docs #303
git_status	clean	PASS
node	v24.14.0	PASS
npm_host	11.9.0	PASS	registrado
npm_install	npm@10.9.7 via npx	PASS	packageManager repo
typescript_registry	6.0.3	PASS	npm view typescript version
turismo_ts_before	^5.3.0	PASS	apps/turismo/package.json
turismo_baseUrl	presente	PASS	TS5101 esperado pos-upgrade
turismo_include	escopo restrito mantido	PASS	nao alterado
turismo_exclude	escopo restrito mantido	PASS	nao alterado
preflight_veredito	GO	T0.13/E3 piloto turismo
