gate	resultado	notas
worktree	s2-fase-e-clean	PASS
branch	chore/trilha-0-t0.14-typescript6-site-publico	PASS
base_commit	793698201	PASS	HITL T0.14 GO condicional
git_status	clean preflight	PASS
node	v24.14.0	PASS
npm_host	11.9.0	PASS
npm_install	npm@10.9.7 via npx	PASS
typescript_registry	6.0.3	PASS
site_ts_before	^5.0.0 dependencies	PASS
site_ts_after	^6.0.3 dependencies	PASS	mantido em dependencies
tsconfig_include_exclude	inalterado	PASS
ignoreBuildErrors	inalterado	PASS
preflight_veredito	GO	implementacao T0.14 E4
