rank	errors	file
1	75	components/training/OnboardingWizard.tsx
2	45	components/hotel-details-modal.tsx
3	42	components/ui/select.tsx
4	40	components/crm/CampaignForm.tsx
5	39	components/tickets/TicketFilters.tsx
6	36	components/tickets/TicketForm.tsx
7	35	components/analytics/AnalyticsInsights.tsx
8	34	components/analytics/AnalyticsDashboard.tsx
9	33	components/smart-pricing/SmartPricingDashboard.tsx
10	32	components/loyalty/LoyaltyDashboard.tsx
11	32	components/crm/CampaignList.tsx
12	31	app/admin/pwa-demo/page.tsx
13	29	app/admin/crm/page.tsx
14	29	components/group-travel/TripInviteModal.tsx
15	27	app/dashboard-rsv/page.tsx
16	26	components/loyalty/RewardsCatalog.tsx
17	23	components/analytics/RevenueForecast.tsx
18	22	app/group-travel/trip-planning/page.tsx
19	21	components/reviews-section.tsx
20	21	app/pricing/dashboard/page.tsx
21	21	app/insurance/policies/page.tsx
22	20	components/ui/dialog.tsx
23	20	app/admin/chat/page.tsx
24	20	components/loyalty/LoyaltyTransactions.tsx
25	19	components/cotacao/QuoteStepProducts.tsx
26	19	components/verification/VerificationDashboard.tsx
27	18	components/trip-invitation/TripInvitationForm.tsx
28	18	components/dashboard/DashboardOverview.tsx
29	17	components/auctions/AuctionBidPanel.tsx
30	17	app/admin/analytics/advanced/page.tsx
