gate	resultado	notas	artefato
worktree	s2-fase-e-clean	PASS
branch	chore/site-publico-next-types-handlers	PASS
base_commit	1686f757b	PASS	main pos T0.16
alteracao	5 routes movidas para segmentos dinamicos	PASS	git mv
G-A2_typecheck_prebuild	PASS exit 0	sem .next
G-A2_build_webpack	PASS exit 0	next build --webpack
G-A2_typecheck_postbuild	FAIL 1963 erros	delta -5 vs baseline 1968
validator_ts2344_direto	0	PASS	era 5
G-A2_typecheck_pos_build_delta	-5 erros	PASS	meta fase T0.18
veredito	T0.18_GO_condicional	aguarda Docker/API P0 carimbo pos-merge
