gate	resultado	notas
worktree	s2-fase-e-clean	PASS
base_commit	9aae8cc55	PASS	main @ FASE-E-CLOSEOUT #360
G-A2_build_turismo	PASS	Turbopack
G-A5_smoke_3005	200	turismo
G-A6_api_p0	8/8 OK	run-api-p0-round1.ps1
typecheck_turismo	FAIL 842	baseline T0.23
ts2786	150	track T0.23a
lint_all_apps	BLOCKED	eslint hoist package.json
hitl_A_lint237	adiado	T0.24 prereq
hitl_B_ts_turismo	selecionado	T0.23 preflight GO condicional
hitl_C_adr0004	proposto	ADR-0004 Proposto
veredito	HITL_GO	T0.23a impl autorizada
proximo_marco	chore/t0.23a-turismo-radix	Radix TS2786
